Timestamp,Username,VideoID,Comment,Date,source,comment_length,word_count,processed_comment
,@NurfinLamuda,,katanya untuk suplai bahan baku ke dapur mbg kopdes merah putih akan jadi mitra dapur untuk pasok kebutuhan ternyata pasokan kebutuhan dapur disuplai sendirii oleh para sppg atau kepala dapur dan owner dapur itu sendiriitu prakteknya bohong besar jika dikatakan untuk pasokan pakai pola kemitraanparah,2026-01-14T11:00:51Z,BBC,301.0,45.0,kata suplai bahan baku dapur kopdes merah putih mitra dapur pasok butuh nyata pasok butuh dapur suplai sendiri sppg kepala dapur owner dapur sendiriitu praktek bohong besar kata pasok pakai pola kemitraanparah
,@nurjafarirvan337,,mbg tidak boleh di protes nanti ada yang marah,2026-01-26T17:27:48Z,BBC,46.0,9.0,protes emosi
,@nurlelahayatilela5071,,dikasih makan bergizi alhamdulillah,2026-01-30T08:25:20Z,BBC,35.0,4.0,beri makan gizi alhamdulillah
,@nursalimbkm,,yang paling menggembirakan dan membahagiakan rezim adalah ya konsolidasi politik,2026-01-13T01:09:54Z,BBC,80.0,10.0,paling gembira bahagia rezim konsolidasi politik
,@nurwahyudi8498,,sesungguhnya tidak menciptakan pekerjaan hanya memindahkan saja yang di untungkn ya capitalis,2026-01-26T11:52:53Z,BBC,93.0,12.0,sungguh cipta kerja pindah untungkn capitalis
,@Nusantoro-b2n,,mbg di evaluasi terus saling koreksi,2026-03-31T10:40:00Z,BBC,36.0,6.0,evaluasi terus saling koreksi
,@NyanyangHAnwari,,yang diuntungkan oligarki lokal,2026-01-29T03:53:47Z,BBC,31.0,4.0,untung oligarki lokal
,@obengstuk3777,,pejabat pada bebas korupsi dibiarkan,2026-01-11T11:03:48Z,BBC,36.0,5.0,jabat bebas korupsi biar
,@obengstuk3777,,pertumbuhan ekonomi rakyat melemah petani sengsara pupuk mahalll,2026-01-11T11:03:15Z,BBC,64.0,8.0,tumbuh ekonomi rakyat lemah tani sengsara pupuk mahalll
,@obengstuk3777,,yang diutungkan para pemborong dapur mbg kader kader gerindra borong tempat masak mbg,2026-01-11T11:02:21Z,BBC,85.0,13.0,diutungkan borong dapur kader kader gerindra borong tempat masak
,@OdolAli,,pengalaman karena adanya mbg dagang jadi sepisaya jualan di sekitar sekolahpenghasilan anjlok parah bagaimana nasib saya kedepannya saya juga tidak tahu,2026-01-14T23:13:18Z,BBC,152.0,21.0,alam ada dagang sepisaya jual sekolahpenghasilan turun drastis parah bagaimana takdir depan tahu
,@olistri4911,,data ekonomi mbg satu dapur 2000 pis makanan x 15000 1dapur omzetnya 30 juta perhari yang kerja 30 orang,2026-02-04T17:00:37Z,BBC,104.0,19.0,data ekonomi satu dapur 2000 pis makan media sosial 15000 1dapur omzet 30 juta hari kerja 30 orang
,@omdicky69,,belum pedagang sekitar omset turun drastis,2026-02-05T05:07:48Z,BBC,42.0,6.0,dagang omset turun drastis
,@ongkekandarjo,,yang diuntungkan murid2 sekolah,2026-03-30T14:30:48Z,BBC,31.0,4.0,untung murid2 sekolah
,@OpikDuasaudara,,embunuh ekonomi pedagang kecil wo,2026-02-04T09:42:03Z,BBC,33.0,5.0,embunuh ekonomi dagang kecil wo
,@opoae9733,,saat kampanye janjinya akan melibatkan umkm semua tinggal omon omon,2026-01-16T05:22:12Z,BBC,67.0,10.0,kampanye janji libat umkm semua tinggal omon omon
,@orangbodo1183,,pejabat yang diuntungkan,2026-01-11T21:42:05Z,BBC,24.0,3.0,jabat untung
,@oreon7312,,para pedagang kecil nangis,2026-02-05T00:16:07Z,BBC,26.0,4.0,dagang kecil nang
,@oreon7312,,kalau ada yang sangat suka dengan mbg berarti orang itu termasuk atau dapat bagian dari mbg,2026-02-05T00:18:33Z,BBC,91.0,16.0,sangat suka arti orang masuk bagi
,@orkestamusic8508,,say pegang 2 dapur perdapurnya saya dapat untung 2 jt trimakasih banya ya pak prabowo yang iri cuwekin saja pak semangat selalu,2026-01-07T06:55:13Z,BBC,127.0,22.0,say pegang 2 dapur dapur untung 2 juta trimakasih banya prabowo iri cuwekin semangat selalu
,@otnay-rp3cn,,fakta dilapangan merugikan pedagang kecil di sekitar sekolah pejabat gk mungkin memikirkan hal itu,2026-01-24T01:37:36Z,BBC,98.0,14.0,fakta lapang rugi dagang kecil sekolah jabat mungkin pikir
,@ovanandarsovan6264,,balas budi politik berbentuk mbg,2026-01-26T11:02:35Z,BBC,32.0,5.0,balas budi politik bentuk
